CreditDuration;CreditAmount;InstallmentRate;Age;NumberOfCredits;CreditHistory;EmploymentDuration;Housing;Purpose;Savings;Group;Gender;CreditRisk (y);y_hat
6;1169;4;67;2;A34;A75;A152;A43;A65;1;0;1;
48;5951;2;22;1;A32;A73;A152;A43;A61;0;1;0;
12;2096;2;49;1;A34;A74;A152;A46;A61;1;0;1;0,852052987
42;7882;2;45;1;A32;A74;A153;A42;A61;0;0;1;
24;4870;3;53;2;A33;A73;A153;A40;A61;1;0;0;
36;9055;2;35;1;A32;A73;A153;A46;A65;0;0;1;
24;2835;3;53;1;A32;A75;A152;A42;A63;1;0;1;
36;6948;2;35;1;A32;A73;A151;A41;A61;0;0;1;
12;3059;2;61;1;A32;A74;A152;A43;A64;1;0;1;
30;5234;4;28;2;A34;A71;A152;A40;A61;1;0;0;
12;1295;3;25;1;A32;A72;A151;A40;A61;1;1;0;
48;4308;3;24;1;A32;A72;A151;A49;A61;1;1;0;
12;1567;1;22;1;A32;A73;A152;A43;A61;1;1;1;
24;1199;4;60;2;A34;A75;A152;A40;A61;1;0;0;
15;1403;2;28;1;A32;A73;A151;A40;A61;1;1;1;
24;1282;4;32;1;A32;A73;A152;A43;A62;1;1;0;0,690417767
24;2424;4;53;2;A34;A75;A152;A43;A65;1;0;1;
30;8072;2;25;3;A30;A72;A152;A49;A65;0;0;1;
24;12579;4;44;1;A32;A75;A153;A41;A61;0;1;0;
24;3430;3;31;1;A32;A75;A152;A43;A63;1;0;1;
9;2134;4;48;3;A34;A73;A152;A40;A61;1;0;1;
6;2647;2;44;1;A32;A73;A151;A43;A63;1;0;1;
10;2241;1;48;2;A34;A72;A151;A40;A61;1;0;1;
12;1804;3;44;1;A34;A72;A152;A41;A62;1;0;1;0,924895227
10;2069;2;26;2;A34;A73;A152;A42;A65;1;0;1;
6;1374;1;36;1;A32;A73;A152;A42;A61;1;0;1;
6;426;4;39;1;A30;A75;A152;A43;A61;1;0;1;
12;409;3;42;2;A31;A73;A151;A43;A64;1;1;1;
7;2415;3;34;1;A32;A73;A152;A43;A61;1;0;1;
60;6836;3;63;2;A33;A75;A152;A49;A61;0;0;0;0,835083246
18;1913;3;36;1;A32;A72;A152;A49;A64;1;0;1;0,902312994
24;4020;2;27;1;A32;A73;A152;A42;A61;1;0;1;
18;5866;2;30;2;A32;A73;A152;A40;A62;0;0;1;0,855559886
12;1264;4;57;1;A34;A75;A151;A49;A65;1;0;1;
12;1474;4;33;1;A32;A72;A152;A42;A61;1;1;1;
45;4746;4;25;2;A34;A72;A152;A43;A61;1;0;0;
48;6110;1;31;1;A34;A73;A153;A46;A61;0;0;1;
18;2100;4;37;1;A32;A73;A152;A43;A61;1;0;0;
10;1225;2;37;1;A32;A73;A152;A44;A61;1;0;1;
9;458;4;24;1;A32;A73;A152;A43;A61;1;0;1;
30;2333;4;30;1;A32;A75;A152;A43;A63;1;0;1;
12;1158;3;26;1;A32;A73;A152;A43;A63;1;0;1;
